cord_uid,title,abstract,authors,journal,publish_time,source_x,doi,pmcid,url,publication_year,publication_month,title_length,title_word_count,has_abstract,abstract_length,abstract_word_count,has_journal
cord-000000,Analysis of transmission and pneumonia in clinical settings,This study examines transmission with 121 word abstract...,,,2021-07-08,Medline,,PMC1000000,https://example.com/paper_0,2021.0,7.0,59,8,True,58.0,8.0,False
cord-000001,Analysis of COVID-19 and treatment and public health and antibody in clinical settings,This study examines COVID-19 with 363 word abstract...,"Author1_1, Author1_2",Science,2019-12-30,Medline,10.1000/sample.1,,https://example.com/paper_1,2019.0,12.0,86,13,True,54.0,8.0,True
cord-000002,Analysis of coronavirus and COVID-19 and treatment in clinical settings,This study examines coronavirus with 479 word abstract...,"Author2_1, Author2_2",Nature,,PMC,10.1000/sample.2,,,,,71,10,True,57.0,8.0,True
cord-000003,Analysis of antiviral and public health and clinical and pandemic in clinical settings,This study examines antiviral with 326 word abstract...,"Author3_1, Author3_2",New England Journal of Medicine,2021-10-16,WHO,10.1000/sample.3,PMC1000003,https://example.com/paper_3,2021.0,10.0,86,13,True,55.0,8.0,True
cord-000004,Analysis of epidemiology and symptoms and COVID-19 and transmission in clinical settings,This study examines epidemiology with 127 word abstract...,"Author4_1, Author4_2",Journal of Virology,2019-12-13,medRxiv,10.1000/sample.4,PMC1000004,https://example.com/paper_4,2019.0,12.0,88,12,True,58.0,8.0,True
cord-000005,Analysis of antiviral and immunity and lockdown and SARS-CoV-2 in clinical settings,This study examines antiviral with 212 word abstract...,Author5_1,Science,2020-08-20,WHO,,PMC1000005,https://example.com/paper_5,2020.0,8.0,83,12,True,55.0,8.0,True
cord-000006,Analysis of symptoms and antiviral and respiratory and diagnosis in clinical settings,,"Author6_1, Author6_2",BMJ,2021-07-17,PMC,10.1000/sample.6,PMC1000006,https://example.com/paper_6,2021.0,7.0,85,12,False,,,True
cord-000007,Analysis of epidemiology and clinical and outbreak and pandemic in clinical settings,This study examines epidemiology with 215 word abstract...,"Author7_1, Author7_2",Lancet,2021-10-25,WHO,10.1000/sample.7,PMC1000007,https://example.com/paper_7,2021.0,10.0,84,12,True,58.0,8.0,True
cord-000008,Analysis of treatment and symptoms in clinical settings,This study examines treatment with 257 word abstract...,"Author8_1, Author8_2",PLoS ONE,2020-06-11,Medline,10.1000/sample.8,PMC1000008,https://example.com/paper_8,2020.0,6.0,55,8,True,55.0,8.0,True
cord-000009,Analysis of clinical and SARS-CoV-2 and lockdown and symptoms in clinical settings,This study examines clinical with 290 word abstract...,"Author9_1, Author9_2",Cell,2020-10-30,PMC,10.1000/sample.9,PMC1000009,https://example.com/paper_9,2020.0,10.0,82,12,True,54.0,8.0,True
cord-000010,Analysis of antibody and therapeutic and vaccination and pandemic in clinical settings,This study examines antibody with 412 word abstract...,"Author10_1, Author10_2",Emerging Infectious Diseases,2019-12-18,medRxiv,10.1000/sample.10,,https://example.com/paper_10,2019.0,12.0,86,12,True,54.0,8.0,True
cord-000011,Analysis of coronavirus and antibody and SARS-CoV-2 and lockdown in clinical settings,This study examines coronavirus with 407 word abstract...,"Author11_1, Author11_2",Emerging Infectious Diseases,,bioRxiv,10.1000/sample.11,,,,,85,12,True,57.0,8.0,True
cord-000012,Analysis of public health and therapeutic and pneumonia in clinical settings,This study examines public health with 384 word abstract...,"Author12_1, Author12_2",,2021-05-09,WHO,10.1000/sample.12,PMC1000012,,2021.0,5.0,76,11,True,59.0,9.0,False
cord-000013,Analysis of treatment and diagnosis and therapeutic in clinical settings,This study examines treatment with 277 word abstract...,Author13_1,Cell,2020-10-15,medRxiv,10.1000/sample.13,PMC1000013,https://example.com/paper_13,2020.0,10.0,72,10,True,55.0,8.0,True
cord-000014,Analysis of antiviral and treatment and vaccination in clinical settings,This study examines antiviral with 475 word abstract...,"Author14_1, Author14_2",Lancet,2020-04-04,PMC,10.1000/sample.14,PMC1000014,https://example.com/paper_14,2020.0,4.0,72,10,True,55.0,8.0,True
cord-000015,Analysis of SARS-CoV-2 and respiratory and symptoms and clinical in clinical settings,This study examines SARS-CoV-2 with 364 word abstract...,"Author15_1, Author15_2",Lancet,2020-04-05,ArXiv,,PMC1000015,https://example.com/paper_15,2020.0,4.0,85,12,True,56.0,8.0,True
cord-000016,Analysis of respiratory and lockdown in clinical settings,This study examines respiratory with 221 word abstract...,"Author16_1, Author16_2",,2021-02-08,ArXiv,10.1000/sample.16,PMC1000016,https://example.com/paper_16,2021.0,2.0,57,8,True,57.0,8.0,False
cord-000017,Analysis of clinical and lockdown in clinical settings,This study examines clinical with 290 word abstract...,Author17_1,JAMA,2021-10-02,Medline,,PMC1000017,,2021.0,10.0,54,8,True,54.0,8.0,True
cord-000018,Analysis of epidemiology and pneumonia and antiviral and clinical in clinical settings,This study examines epidemiology with 472 word abstract...,"Author18_1, Author18_2",PLoS ONE,2022-08-17,Medline,10.1000/sample.18,PMC1000018,https://example.com/paper_18,2022.0,8.0,86,12,True,58.0,8.0,True
cord-000019,Analysis of symptoms and pandemic in clinical settings,,Author19_1,Journal of Medical Virology,2020-07-19,ArXiv,10.1000/sample.19,PMC1000019,https://example.com/paper_19,2020.0,7.0,54,8,False,,,True
cord-000020,Analysis of symptoms and pandemic and lockdown and therapeutic in clinical settings,This study examines symptoms with 465 word abstract...,"Author20_1, Author20_2",Emerging Infectious Diseases,2020-04-14,Medline,10.1000/sample.20,,https://example.com/paper_20,2020.0,4.0,83,12,True,54.0,8.0,True
cord-000021,Analysis of COVID-19 and symptoms in clinical settings,This study examines COVID-19 with 407 word abstract...,Author21_1,Virology,2021-09-25,Medline,10.1000/sample.21,PMC1000021,,2021.0,9.0,54,8,True,54.0,8.0,True
cord-000022,Analysis of outbreak and public health in clinical settings,This study examines outbreak with 254 word abstract...,"Author22_1, Author22_2",Cell,,ArXiv,10.1000/sample.22,PMC1000022,,,,59,9,True,54.0,8.0,True
cord-000023,Analysis of SARS-CoV-2 and diagnosis and outbreak in clinical settings,This study examines SARS-CoV-2 with 313 word abstract...,"Author23_1, Author23_2",PLoS ONE,2021-02-15,Medline,,,https://example.com/paper_23,2021.0,2.0,70,10,True,56.0,8.0,True
cord-000024,Analysis of public health and clinical and SARS-CoV-2 in clinical settings,This study examines public health with 245 word abstract...,"Author24_1, Author24_2",Journal of Medical Virology,2021-10-01,PMC,10.1000/sample.24,PMC1000024,https://example.com/paper_24,2021.0,10.0,74,11,True,59.0,9.0,True
cord-000025,Analysis of outbreak and SARS-CoV-2 in clinical settings,This study examines outbreak with 319 word abstract...,"Author25_1, Author25_2",Nature,2021-11-11,WHO,10.1000/sample.25,PMC1000025,https://example.com/paper_25,2021.0,11.0,56,8,True,54.0,8.0,True
cord-000026,Analysis of antiviral and clinical in clinical settings,This study examines antiviral with 112 word abstract...,"Author26_1, Author26_2",New England Journal of Medicine,,PMC,10.1000/sample.26,PMC1000026,https://example.com/paper_26,,,55,8,True,55.0,8.0,True
cord-000027,Analysis of pneumonia and symptoms and diagnosis in clinical settings,This study examines pneumonia with 177 word abstract...,"Author27_1, Author27_2",Science Translational Medicine,2022-08-24,WHO,10.1000/sample.27,PMC1000027,https://example.com/paper_27,2022.0,8.0,69,10,True,55.0,8.0,True
cord-000028,Analysis of antiviral and vaccination and SARS-CoV-2 and therapeutic in clinical settings,This study examines antiviral with 388 word abstract...,"Author28_1, Author28_2",New England Journal of Medicine,2021-11-05,PMC,10.1000/sample.28,PMC1000028,https://example.com/paper_28,2021.0,11.0,89,12,True,55.0,8.0,True
cord-000029,Analysis of COVID-19 and diagnosis in clinical settings,This study examines COVID-19 with 402 word abstract...,"Author29_1, Author29_2",Clinical Infectious Diseases,2021-05-16,Medline,10.1000/sample.29,,https://example.com/paper_29,2021.0,5.0,55,8,True,54.0,8.0,True
cord-000030,Analysis of therapeutic and respiratory and coronavirus and immunity in clinical settings,This study examines therapeutic with 498 word abstract...,Author30_1,Science Translational Medicine,2021-10-20,ArXiv,10.1000/sample.30,,https://example.com/paper_30,2021.0,10.0,89,12,True,57.0,8.0,True
cord-000031,Analysis of coronavirus and transmission in clinical settings,This study examines coronavirus with 162 word abstract...,Author31_1,Clinical Infectious Diseases,2021-12-13,bioRxiv,10.1000/sample.31,PMC1000031,https://example.com/paper_31,2021.0,12.0,61,8,True,57.0,8.0,True
cord-000032,Analysis of clinical and symptoms and epidemiology and transmission in clinical settings,This study examines clinical with 465 word abstract...,Author32_1,,2020-10-12,Medline,10.1000/sample.32,PMC1000032,https://example.com/paper_32,2020.0,10.0,88,12,True,54.0,8.0,False
cord-000033,Analysis of diagnosis and outbreak in clinical settings,This study examines diagnosis with 410 word abstract...,"Author33_1, Author33_2",Nature,2020-09-11,bioRxiv,10.1000/sample.33,PMC1000033,https://example.com/paper_33,2020.0,9.0,55,8,True,55.0,8.0,True
cord-000034,Analysis of clinical and symptoms and diagnosis in clinical settings,This study examines clinical with 314 word abstract...,Author34_1,Nature,2021-01-11,Medline,10.1000/sample.34,,,2021.0,1.0,68,10,True,54.0,8.0,True
cord-000035,Analysis of diagnosis and coronavirus and therapeutic in clinical settings,This study examines diagnosis with 233 word abstract...,"Author35_1, Author35_2",Nature Medicine,2021-04-19,Medline,10.1000/sample.35,PMC1000035,https://example.com/paper_35,2021.0,4.0,74,10,True,55.0,8.0,True
cord-000036,Analysis of transmission and therapeutic and antiviral and antibody in clinical settings,,"Author36_1, Author36_2",Nature,2020-11-05,ArXiv,10.1000/sample.36,PMC1000036,https://example.com/paper_36,2020.0,11.0,88,12,False,,,True
cord-000037,Analysis of transmission and COVID-19 in clinical settings,This study examines transmission with 429 word abstract...,Author37_1,Emerging Infectious Diseases,2020-05-08,bioRxiv,10.1000/sample.37,PMC1000037,https://example.com/paper_37,2020.0,5.0,58,8,True,58.0,8.0,True
cord-000038,Analysis of pandemic and epidemiology and SARS-CoV-2 and coronavirus in clinical settings,This study examines pandemic with 181 word abstract...,"Author38_1, Author38_2",Science,2021-03-30,PMC,10.1000/sample.38,PMC1000038,https://example.com/paper_38,2021.0,3.0,89,12,True,54.0,8.0,True
cord-000039,Analysis of respiratory and clinical and epidemiology and vaccination in clinical settings,This study examines respiratory with 373 word abstract...,"Author39_1, Author39_2",,,ArXiv,10.1000/sample.39,PMC1000039,https://example.com/paper_39,,,90,12,True,57.0,8.0,False
cord-000040,Analysis of symptoms and clinical and treatment in clinical settings,This study examines symptoms with 239 word abstract...,"Author40_1, Author40_2",Journal of Virology,2022-09-23,WHO,10.1000/sample.40,PMC1000040,https://example.com/paper_40,2022.0,9.0,68,10,True,54.0,8.0,True
cord-000041,Analysis of pandemic and respiratory in clinical settings,This study examines pandemic with 198 word abstract...,Author41_1,Science Translational Medicine,2020-03-12,Medline,10.1000/sample.41,,https://example.com/paper_41,2020.0,3.0,57,8,True,54.0,8.0,True
cord-000042,Analysis of treatment and diagnosis in clinical settings,This study examines treatment with 325 word abstract...,"Author42_1, Author42_2",,2020-03-29,Medline,10.1000/sample.42,PMC1000042,,2020.0,3.0,56,8,True,55.0,8.0,False
